"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\Clients\salam hack\fintich\src\lib\constants\navigation.ts", "TypeScript", 14, 0, 0, 3, 3, 20
"d:\Clients\salam hack\fintich\src\lib\constants\pricing.ts", "TypeScript", 44, 0, 0, 0, 4, 48
"d:\Clients\salam hack\fintich\src\lib\constants\reviews.ts", "TypeScript", 26, 0, 0, 0, 1, 27
"d:\Clients\salam hack\fintich\src\lib\constants\sidebar.tsx", "TypeScript JSX", 0, 34, 0, 0, 3, 37
"d:\Clients\salam hack\fintich\src\lib\models\Dispute.ts", "TypeScript", 45, 0, 0, 0, 7, 52
"d:\Clients\salam hack\fintich\src\lib\models\Project.ts", "TypeScript", 60, 0, 0, 0, 8, 68
"d:\Clients\salam hack\fintich\src\lib\models\User.ts", "TypeScript", 37, 0, 0, 0, 5, 42
"d:\Clients\salam hack\fintich\src\lib\models\Withdrawal.ts", "TypeScript", 23, 0, 0, 0, 4, 27
"d:\Clients\salam hack\fintich\src\lib\schemes\auth.ts", "TypeScript", 23, 0, 0, 0, 5, 28
"d:\Clients\salam hack\fintich\src\lib\schemes\project.ts", "TypeScript", 27, 0, 0, 0, 4, 31
"d:\Clients\salam hack\fintich\src\lib\services\authService.ts", "TypeScript", 36, 0, 0, 4, 8, 48
"d:\Clients\salam hack\fintich\src\lib\services\projectService.ts", "TypeScript", 108, 0, 0, 0, 11, 119
"d:\Clients\salam hack\fintich\src\lib\types\auth.ts", "TypeScript", 8, 0, 0, 0, 1, 9
"d:\Clients\salam hack\fintich\src\lib\types\next-auth.d.ts", "TypeScript", 10, 0, 0, 1, 4, 15
"d:\Clients\salam hack\fintich\src\lib\types\project.ts", "TypeScript", 29, 0, 0, 0, 4, 33
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\faq.ts", "TypeScript", 26, 0, 0, 3, 5, 34
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\header.ts", "TypeScript", 11, 0, 0, 0, 3, 14
"d:\Clients\salam hack\fintich\src\lib\utils\gsap\hero.ts", "TypeScript", 42, 0, 0, 12, 10, 64
